Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-17 14:14:47 +08:00, start
2020-10-17 14:14:47 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:14:47 +08:00, pause
2020-10-17 14:15:02 +08:00, resume
2020-10-17 14:15:02 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-17 14:15:09 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:15:12 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:15:17 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:15:22 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-17 14:15:27 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:15:34 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-17 14:15:37 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:15:42 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:15:47 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-17 14:15:52 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:15:59 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:16:02 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-17 14:16:07 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:16:07 +08:00, pause
2020-10-17 14:16:25 +08:00, resume
2020-10-17 14:16:25 +08:00, -62, 11-1, WPA2 Personal, n
2020-10-17 14:16:30 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-17 14:16:37 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-17 14:16:40 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-17 14:16:45 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-17 14:16:50 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:16:55 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:17:02 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-17 14:17:05 +08:00, -63, 11-1, WPA2 Personal, n
2020-10-17 14:17:10 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-17 14:17:15 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-17 14:17:20 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-17 14:17:27 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-17 14:17:27 +08:00, pause
2020-10-17 14:17:40 +08:00, resume
2020-10-17 14:17:40 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:17:45 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-17 14:17:50 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:17:55 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:18:02 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:18:05 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:18:10 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:18:15 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:18:20 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:18:27 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-17 14:18:30 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:18:35 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-17 14:18:40 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:18:40 +08:00, pause
2020-10-17 14:18:56 +08:00, resume
2020-10-17 14:18:56 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:19:03 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:19:06 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-17 14:19:11 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-17 14:19:16 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:19:21 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:19:28 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:19:31 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:19:36 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:19:41 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-17 14:19:46 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-17 14:19:53 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-17 14:19:56 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-17 14:20:01 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-17 14:20:01 +08:00, pause
2020-10-17 14:20:13 +08:00, resume
2020-10-17 14:20:13 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:20:18 +08:00, -40, 11-1, WPA2 Personal, n
2020-10-17 14:20:25 +08:00, -43, 11-1, WPA2 Personal, n
2020-10-17 14:20:28 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:20:33 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:20:38 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-17 14:20:43 +08:00, -42, 11-1, WPA2 Personal, n
2020-10-17 14:20:50 +08:00, -42, 11-1, WPA2 Personal, n
2020-10-17 14:20:53 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:20:58 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-17 14:21:03 +08:00, -42, 11-1, WPA2 Personal, n
2020-10-17 14:21:08 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-17 14:21:15 +08:00, -42, 11-1, WPA2 Personal, n
2020-10-17 14:21:18 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:21:18 +08:00, pause
2020-10-17 14:21:31 +08:00, resume
2020-10-17 14:21:31 +08:00, -41, 11-1, WPA2 Personal, n
2020-10-17 14:21:36 +08:00, -40, 11-1, WPA2 Personal, n
