Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-03 19:27:53 +08:00, start
2020-10-03 19:27:53 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-03 19:27:57 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-03 19:27:57 +08:00, pause
2020-10-03 19:28:14 +08:00, resume
2020-10-03 19:28:14 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-03 19:28:19 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:28:27 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-03 19:28:29 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-03 19:28:34 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:28:39 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-03 19:28:45 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-03 19:28:52 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-03 19:28:55 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-03 19:29:00 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-03 19:29:05 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-03 19:29:09 +08:00, -61, 11-1, WPA2 Personal, n
2020-10-03 19:29:17 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:29:19 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:29:24 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:29:29 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-03 19:29:34 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-03 19:29:34 +08:00, pause
2020-10-03 19:30:07 +08:00, resume
2020-10-03 19:30:07 +08:00, -58, 11-1, WPA2 Personal, n
2020-10-03 19:30:09 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-03 19:30:14 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:30:19 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-03 19:30:24 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-03 19:30:32 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-03 19:30:34 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-03 19:30:39 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-03 19:30:44 +08:00, -55, 11-1, WPA2 Personal, n
2020-10-03 19:30:50 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-03 19:30:57 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-03 19:31:00 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-03 19:31:05 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-03 19:31:10 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-03 19:31:15 +08:00, -56, 11-1, WPA2 Personal, n
2020-10-03 19:31:22 +08:00, -54, 11-1, WPA2 Personal, n
2020-10-03 19:31:22 +08:00, pause
2020-10-03 19:31:41 +08:00, resume
2020-10-03 19:31:41 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-03 19:31:47 +08:00, -49, 11-1, WPA2 Personal, n
