-46,-49,-52,-75,-69,100,-57,-70,-49,-69,-54,-80,-79,-85,-51,-70,-69,-84,-49,-65
-39,-43,-55,-72,-80,100,-57,-70,-50,-71,-54,-82,-82,-89,-58,-65,-67,-84,-58,-61
-46,-46,-50,-75,-70,100,-53,-68,-50,-64,-52,-77,-74,-90,-51,-71,-70,-82,-51,-65
-38,-43,-55,-73,-79,100,-58,-69,-62,-66,-74,-84,-83,-91,-59,-65,-68,-81,-54,-64
-46,-46,-49,-78,-70,100,-52,-71,-48,-71,-64,-79,-73,-84,-52,-71,-68,-85,-49,-62
-40,-41,-54,-76,-79,100,-59,-67,-47,-72,-66,-85,-73,-88,-57,-66,-70,-82,-60,-66
-46,-55,-50,-76,-70,100,-52,-72,-53,-70,-55,-81,-75,-87,-51,-69,-70,-87,-56,-63
-40,-43,-53,-75,-70,-92,-60,-68,-51,-71,-55,-88,-83,-88,-55,-65,-68,-87,-62,-64
-58,-56,-50,-79,-71,-92,-53,-68,-48,-70,-73,-79,-83,-91,-53,-68,-68,-82,-52,-62
-41,-44,-55,-73,-80,-92,-60,-67,-49,-72,-63,-84,-81,-86,-54,-64,-69,-83,-62,-65
-48,-63,-50,-77,-72,100,-73,-74,-49,-67,-80,-95,-74,-80,-47,-66,-75,100,-63,-69
-48,-62,-52,-77,-78,100,-69,-77,-43,-57,-86,-95,-78,-82,-53,-65,-73,100,-59,-74
-45,-60,-49,-75,-71,100,-63,-79,-43,-66,-77,-92,-69,-79,-48,-68,-73,100,-57,-76
-49,-62,-51,-81,-79,100,-63,-80,-50,-59,-84,-93,-77,-86,-51,-63,-76,100,-60,-69
-48,-58,-50,-75,-75,100,-63,-79,-45,-59,-83,-93,-82,-82,-47,-65,-72,100,-59,-73
-50,-62,-51,-80,-80,100,-62,-76,-47,-57,-85,-93,-78,-85,-51,-63,-76,100,-61,-71
-47,-61,-49,-75,-75,100,-62,-83,-41,-67,-83,-93,-81,-82,-47,-71,-75,100,-60,-76
-55,-59,-52,-76,-81,100,-62,-75,-44,-57,-82,-92,-79,-84,-52,-65,-75,-90,-58,-68
-52,-65,-49,-72,-73,100,-58,-84,-48,-66,-77,-92,-73,-80,-47,-65,-72,-86,-65,-65
-48,-59,-52,-76,-83,100,-64,-72,-47,-56,-82,-93,-80,-84,-53,-67,-74,-86,-59,-70
-48,-61,-62,-80,-74,100,-76,-86,-54,-63,-83,100,-86,100,-51,-68,-71,-91,-61,-73
-51,-63,-66,-73,-77,100,-80,-85,-50,-62,-86,100,-85,100,-50,-62,-79,-91,-64,-70
-47,-63,-65,-78,-74,100,-83,-88,-56,-64,-82,100,-85,100,-54,-64,-74,-91,-63,-73
-64,-62,-60,-76,-81,100,-79,-88,-50,-65,-82,100,-85,100,-49,-59,-81,100,-73,-72
-52,-63,-62,-71,-73,100,-74,-85,-49,-63,-82,100,100,100,-47,-65,-73,100,-63,-73
-52,-61,-61,-76,-80,100,-81,-85,-48,-64,-81,100,-86,100,-49,-63,-78,100,-71,-73
-52,-65,-63,-71,-75,100,-76,-89,-49,-63,-82,100,-83,100,-47,-65,-74,100,-63,-71
-61,-62,-61,-75,-78,100,-78,-84,-50,-65,-85,100,-83,100,-50,-62,-79,100,-73,-71
-46,-66,-65,-74,-76,100,-76,-82,-47,-58,-85,100,-84,100,-51,-72,-77,100,-65,-79
