-41,-43,-53,-73,-70,-89,-51,-75,-63,-68,-66,-87,-80,-93,-55,-64,-69,-83,-52,-66
-45,-58,-60,-74,-70,100,-47,-73,-47,-76,-64,-79,-78,-91,-57,-64,-61,-76,-62,-65
-41,-43,-48,-72,-68,100,-51,-74,-66,-68,-67,-87,-80,-91,-61,-61,-69,-84,-52,-65
-44,-57,-51,-73,-71,100,-46,-72,-51,-72,-63,-79,-79,-89,-62,-66,-62,-76,-63,-65
-40,-43,-50,-73,-70,100,-50,-75,-68,-69,-68,-86,-78,-92,-58,-61,-69,-84,-54,-65
-43,-57,-52,-72,-71,100,-46,-71,-47,-72,-64,-79,-78,-89,-62,-66,-62,-76,-61,-66
-40,-43,-51,-73,-69,100,-50,-71,-62,-69,-63,-89,-80,-89,-58,-62,-69,-84,-52,-66
-44,-58,-51,-73,-71,100,-46,-71,-47,-73,-62,-77,-77,-92,-61,-67,-63,-76,-61,-66
-41,-43,-50,-73,-68,100,-50,-75,-67,-68,-62,-86,-78,-93,-60,-62,-68,-76,-52,-66
-44,-58,-51,-74,-68,100,-47,-71,-50,-78,-62,-79,-78,-90,-62,-65,-62,-76,-61,-66
-44,-50,-54,-78,-77,-88,-49,-65,-48,-64,-70,-84,-74,-88,-53,-70,-65,-81,-52,-72
-41,-55,-52,-76,-68,-88,-50,-62,-48,-66,-53,-78,-85,-86,-49,-67,-62,-76,-50,-63
-42,-51,-53,-75,-79,-86,-50,-67,-49,-62,-69,-86,-85,-95,-49,-69,-64,-80,-56,-73
-41,-55,-54,-74,-67,-86,-47,-61,-47,-70,-55,-80,-76,-85,-49,-65,-62,-76,-51,-64
-42,-51,-51,-75,-77,-86,-50,-65,-49,-63,-55,-88,-78,-85,-52,-70,-66,-80,-52,-73
-42,-53,-53,-75,-68,-90,-47,-61,-47,-67,-66,-78,-74,-86,-50,-67,-63,-76,-51,-64
-43,-53,-52,-76,-77,-87,-50,-64,-48,-59,-66,-87,-72,-95,-52,-69,-63,-79,-51,-71
-41,-53,-55,-75,-68,-87,-47,-62,-48,-71,-62,-80,-75,-86,-49,-66,-63,-75,-52,-64
-42,-53,-51,-76,-79,-87,-50,-64,-48,-62,-62,-86,-80,-92,-52,-69,-63,-80,-52,-71
-41,-48,-52,-75,-68,100,-47,-61,-50,-68,-53,-81,-74,-86,-48,-70,-62,-75,-50,-66
-46,-49,-53,-79,-76,100,-56,-72,-41,-56,-67,-92,-72,-82,-51,-64,-64,-82,-58,-70
-46,-66,-49,-85,-66,100,-48,-69,-43,-55,-68,-89,-71,-84,-45,-64,-64,-81,-63,-77
-46,-49,-53,-78,-75,100,-54,-73,-41,-56,-71,-91,-69,-82,-51,-63,-64,-82,-59,-70
-45,-64,-49,-79,-66,100,-47,-70,-48,-56,-68,-89,-69,-85,-45,-68,-65,-82,-64,-77
-47,-49,-50,-76,-74,100,-52,-73,-48,-58,-68,-92,-68,-83,-50,-65,-66,-85,-59,-69
-48,-69,-47,-83,-68,100,-47,-65,-45,-53,-74,-89,-71,-87,-47,-65,-63,-82,-63,-76
-46,-48,-53,-78,-75,100,-54,-77,-41,-56,-72,-91,-70,-84,-51,-61,-65,-82,-59,-72
-47,-65,-47,-81,-68,100,-48,-68,-44,-55,-52,-91,-69,-86,-48,-66,-63,-82,-64,-83
-47,-49,-52,-77,-73,100,-54,-78,-41,-57,-52,-90,-69,-83,-50,-64,-66,-80,-59,-69
-49,-68,-47,-81,-67,100,-48,-68,-46,-53,-73,-90,-69,-82,-46,-65,-64,-81,-59,-76
